ITEM CCODE,BARCODE,ITEM DESCRIPTION,CATERGORY,item catergory,unit of measure
CFC-FRU-012,10080.0,BDFruit Cake 12,49,internal,ea
CFC-FRU-014,10081.0,BD Fruit Cake 14,49,internal,ea
CFC-FRU-016,10082.0,BD Fruit Cake 16,49,internal,ea
CFC-FRU-EAU,,Fruit Cake Pieces Unwrapped,49,internal,ea
CFC-FRU-EAW,,Fruit Cake Pieces Wrapped,49,internal,ea
CFC-FSM-EAC,,Mini Freshcream Swissroll,47,internal,ea
CFC-FSS-EAC,12031.0,FC Strawberry Sponge,46,internal,ea
CFC-MEG-EAC,12034.0,Mothers Day Eggless Freshcream Gateaux,46,internal,ea
CFC-MFD-EAC,,Mini FC D/N,46,internal,ea
CFC-MFE-EAC,,Mini Freshcream Eclairs,47,internal,ea
CFC-MFG-EAC,12033.0,Mothers Day FC Choc Gateaux with rose and leaves,47,internal,ea
CFC-MFL-EAC,,Mini CreamPuffs,18,internal,ea
CFC-MMT-EAC,,Mini Milk Tart,46,internal,ea
CFC-MTA-EAC,12028.0,Milk Tart Large,46,internal,ea
CFC-MTL-EAC,12029.0,Milk Tartlet,47,internal,ea
CFC-NOB-EAC,12032.0,No Bake Cake,46,internal,ea
CFC-SEF-EAC,30670.0,Eggless Small Freshcream Gateaux,46,internal,ea
CFC-VVB-EAC,,Vegan Vanilla 4 Layer -Berry Garnish,43,internal,ea
CFR-CFR-012,30340.0,BD Round Fruitcake 12,50,internal,ea
CFR-CFR-012,30340.0,BD Round Fruitcake 12,51,internal,ea
CFR-CFR-014,30363.0,BD Round Fruitcake 14,52,internal,ea
CFR-CFR-016,30364.0,BD Round Fruitcake 16,49,internal,ea
CFR-CFR-016,30364.0,BD Round Fruitcake 16,50,internal,ea
CFW-CAF-002,10100.0,BD WC Fruit 2 Layer,41,internal,ea
CFW-CAF-003,10101.0,BD WC Fruit 3 Layer,41,internal,ea
CFW-CAF-003,10101.0,BD WC Fruit 3 Layer,41,internal,ea
CFW-CKE-003,10099.0,BD Wedding Cake FC 10 12 14 Loose,41,internal,ea
CLE-BGS-EAC,,Betasan Gel Sanitizer Refills,53,external,ea
CLE-MPP-EAC,,Monthly Pest Control,54,external,ea
CLE-TPR-EAC,,Tad Paper Refil,53,external,ea
CLE-VIB-EAC,,Viper Boards,53,external,ea
CNO-BC1-1X5,10083.0,BD Buttercream 1mx500,21,internal,ea
CNO-BC1-1X5,10083.0,BD Buttercream 1mx500,55,internal,ea
CNO-BCB-016,10060.0,BD Buttercream 16 Bible,17,internal,ea
CNO-BCB-018,10065.0,BD Buttercream 18 Bible,17,internal,ea
CNO-BCB-020,10068.0,BD Buttercream 20 Bible,17,internal,ea
CNO-BCE-1X5,,BD Buttercream 1mx500 Eggless,56,internal,ea
CNO-BCH-016,10063.0,BD Buttercream 16 Heart,17,internal,ea
CNO-BCH-018,10067.0,BD Buttercream 18 Heart,17,internal,ea
CNO-BCH-020,10036.0,BD Buttercream 20 Heart,17,internal,ea
CNO-BCS-014,10059.0,BD Buttercream 14 Soccer,17,internal,ea
CNO-BCS-014,10059.0,BD Buttercream 14 Soccer,17,internal,ea
CNO-BCS-016,10064.0,BD Buttercream 16 Soccer,17,internal,ea
CNO-BNY-018,10085.0,BD Mould On SL 18,17,internal,ea
CNO-BNY-018,10085.0,BD Mould On SL 18,17,internal,ea
CNO-BUT-014,10057.0,BD Buttercream 14 Butterfly,17,internal,ea
CNO-BUT-016,10062.0,BD Buttercream 16 Butterfly,17,internal,ea
CNO-CAS-018,10087.0,BD Castle,17,internal,ea
CNO-DHB-020,10167.0,BD Buttercream 20 Double Heart With Base,17,internal,ea
CNO-DOLL-014,10058.0,BD Buttercream 14 Doll,17,internal,ea
CNO-DOLL-016,10061.0,BD Buttercream 16 Doll,17,internal,ea
CNO-DOLL-016,10061.0,BD Buttercream 16 Doll,17,internal,ea
CNO-FC1-1X5,10084.0,BD Freshcream 1mx500,48,internal,ea
CNO-FCB-016,30469.0,BD 16 Freshcream BIBLE,17,internal,ea
CNO-FCB-016,30469.0,BD 16 Freshcream BIBLE,17,internal,ea
CNO-FCB-018,10071.0,BD Freshcream 18 Bible,17,internal,ea
CNO-FCB-018,10071.0,BD Freshcream 18 Bible,17,internal,ea
