TABLE_NAME COLUMN_NAME DATA_TYPE CHARACTER_MAXIMUM_LENGTH IS_NULLABLE
Suppliers Address nvarchar 200 YES
Suppliers BankName nvarchar 100 YES
Suppliers BranchCode nvarchar 20 YES
Suppliers AccountNumber nvarchar 50 YES
Suppliers PaymentTerms nvarchar 50 YES
Suppliers Notes nvarchar 500 YES
Suppliers SupplierName nvarchar 200 YES
Suppliers SupplierCode nvarchar 50 YES
Suppliers BankAccountNumber nvarchar 23 YES
Suppliers BankAccountType nvarchar 10 YES
Suppliers BankBranchCode nvarchar 10 YES
Suppliers BankBIC nvarchar 20 YES
Suppliers ProofOfPaymentEmail nvarchar 100 YES

(536 rows affected)
