Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Treatment,Branch
0,OD400,,BD 14' Carrot cake square with cream cheese,exotic,internal,0,BD 14' Carrot cake square with cream cheese,,CEX-CAC-014,1300,,OD400 - Umhlanga
0,OD400,,BD 16' Carrot Cake Square with cream cheese,exotic cakes,internal,0,BD 16' Carrot Cake Square with cream cheese,,CEX-CAC-016,1400,,OD400 - Umhlanga
0,OD400,,BD 18 Carrot Cake Square with cream cheese,exotic cakes,internal,0,BD 18 Carrot Cake Square with cream cheese,,CEX-CAC-018,1700,,OD400 - Umhlanga
0,OD400,,BD 20 Carrot Cake Square with cream cheese,exotic,internal,0,BD 20 Carrot Cake Square with cream cheese,,CEX-CAC-020,1800,,OD400 - Umhlanga
0,OD400,,Carrot Cake Cupcake,exotic cakes,internal,0,Carrot Cake Cupcake,,CEX-CAC-EAC,25,,OD400 - Umhlanga
0,OD400,,Chocolate Bar One 6 Layer Drip Cake,exotic cakes,internal,0,Chocolate Bar One 6 Layer Drip Cake,,CEX-CBD-EAC,1400,,OD400 - Umhlanga
0,OD400,,Christmas Bar One Round,exotic cakes,internal,14006,Christmas Bar One Round,,CEX-CBO-EAC,280,,OD400 - Umhlanga
0,OD400,,Cheese Cake Slice,exotic cakes,internal,14007,Cheese Cake Slice,,CEX-CCS-EAC,50,,OD400 - Umhlanga
0,OD400,,Cheese Cake Tart,exotic cakes,internal,14008,Cheese Cake Tart,,CEX-CCT-EAC,67,,OD400 - Umhlanga
0,OD400,,Caramel Exotic Gateaux,exotic cakes,internal,14035,Caramel Exotic Gateaux,,CEX-CEG-EAC,230,,OD400 - Umhlanga
0,OD400,,Chocolate Fererro 6 Layer Drip Cake,exotic cakes,internal,0,Chocolate Fererro 6 Layer Drip Cake,,CEX-CFD-EAC,1400,,OD400 - Umhlanga
0,OD400,,Christmas Ferrero Cake,exotic cakes,internal,14010,Christmas Ferrero Cake,,CEX-CFE-EAC,280,,OD400 - Umhlanga
0,OD400,,Custard & Jelly,exotic cakes,internal,14042,Custard & Jelly,,CEX-CUS-EAC,19,,OD400 - Umhlanga
0,OD400,,Bar One Cupcake Eggless,exotic cakes,internal,0,Bar One Cupcake Eggless,,CEX-EBC-EACH,20,,OD400 - Umhlanga
0,OD400,,Mothers Day Ferrero Round with rose and leaves,exotic cakes,internal,14045,Mothers Day Ferrero Round with rose and leaves,,CEX-FEM-EAC,290,,OD400 - Umhlanga
0,OD400,,BD Ferrero Cake 12,exotic cakes,internal,10075,BD Ferrero Cake 12,,CEX-FER-012,1000,,OD400 - Umhlanga
0,OD400,,BD Ferrero Cake 14,exotic cakes,internal,10076,BD Ferrero Cake 14,,CEX-FER-014,1200,,OD400 - Umhlanga
0,OD400,,BD Ferrero Cake 16,exotic cakes,internal,10077,BD Ferrero Cake 16,,CEX-FER-016,1400,,OD400 - Umhlanga
0,OD400,,BD Ferrero Cake 18,exotic cakes,internal,0,BD Ferrero Cake 18,,CEX-FER-018,1700,,OD400 - Umhlanga
0,OD400,,BD Ferrero Cake 18,exotic cakes,internal,0,BD Ferrero Cake 18,,CEX-FER-018,1600,,OD400 - Umhlanga
0,OD400,,Ferrero Rocher Cake,exotic cakes,internal,14012,Ferrero Rocher Cake,,CEX-FRC-EAC,290,,OD400 - Umhlanga
0,OD400,,Lemon Meringue Tart Small,exotic,internal,0,Lemon Meringue Tart Small,,CEX-LMS-EAC,20,,OD400 - Umhlanga
0,OD400,,Lemon Meringue Tart Large,exotic cakes,internal,0,Lemon Meringue Tart Large,,CEX-LMT-EAC,60,,OD400 - Umhlanga
0,OD400,,Macaroons (4s),exotic cakes,internal,14047,Macaroons (4s),,CEX-MAC-EAC,60,,OD400 - Umhlanga
0,OD400,,Malva Pudding,exotic,internal,14048,Malva Pudding,,CEX-MAL-EAC,34,,OD400 - Umhlanga
10,OD400,,Macaroons (1s),exotic,internal,0,Macaroons (1s),,CEX-MAO-EAC,18,,OD400 - Umhlanga
