TEM CCODE;BARCODE;ITEM DESCRIPTION;SUB CATEGORY;MAIN CATEGORY;ITEM CATEGORY;UNIT OF MEASURE;OFFICE
MIS-DBV-020;27001;Dbl Vanilla 20;miscellaneous;miscellaneous;internal;ea;pos
XDA-FLO-KGR;;Flora light;consumables;Consumables;external;kg;
MIS-DBV-022;28001;Dbl Vanilla 22;miscellaneous;miscellaneous;internal;ea;pos
MIS-DEL-EAC;;Delivery;miscellaneous;miscellaneous;internal;ea;pos
MIS-DMV-EACH;8099;Mvutu Donut 4s;miscellaneous;miscellaneous;internal;ea;pos
MIS-DOS-EAC;8202;Day Old Scones;miscellaneous;miscellaneous;internal;ea;pos
MIS-EPO-EAC;30422;Edible Picture Only;miscellaneous;miscellaneous;external;ea;pos
MIS-FCB-EAC;;Balloons -Foil Character;miscellaneous;miscellaneous;external;ea;pos
MIS-FFL-EAC;;Fresh Flowers Each;miscellaneous;miscellaneous;external;ea;pos
XDE-DIW-EAC;;Diwali Sticker;consumables;Consumables;external;ea;
MIS-FGB-EAC;;Balloons-Foil General;miscellaneous;miscellaneous;external;ea;pos
MIS-FMG-EAC;;Balloons- Foil Number Gold;miscellaneous;miscellaneous;external;ea;pos
MIS-FNG-EAC;;Balloons- Foil Number Rose Gold;miscellaneous;miscellaneous;external;ea;pos
XDE-RIB-EAC;30198;Ribbon;consumables;Consumables;external;meter;
MIS-FNR-EAC;;Balloons-Foil Number Rainbow Splash;miscellaneous;miscellaneous;external;ea;pos
MIS-FNS-EAC;;Balloons- Foil Number Silver;miscellaneous;miscellaneous;external;ea;pos
MIS-FWO-EACH;;Fondant Wording;miscellaneous;miscellaneous;external;ea;pos
MIS-GBE-EAC;8017;Gold Beads;miscellaneous;miscellaneous;external;ea;pos
MIS-GWR-EAC;30521;Gold Writing;miscellaneous;miscellaneous;external;ea;pos
MIS-HBT-EAC;;Happy Birthday Cake Topper;miscellaneous;miscellaneous;external;ea;pos
MIS-HEL-LAR;;Heluim Large;miscellaneous;miscellaneous;external;ea;pos
MIS-HEL-SML;;Heluim Small;miscellaneous;miscellaneous;external;ea;pos
MIS-LEA-EAC;8018;Leaves;miscellaneous;miscellaneous;external;ea;pos
MIS-MGR-EAC;8035;Rib Metallic Gold;miscellaneous;miscellaneous;external;ea;pos
YBU-JUG-2LT;;Jug Plastic 2 litre;consumables;Consumables;external;ea;
MIS-MSR-EAC;8036;Rib Metallic Silver;miscellaneous;miscellaneous;external;ea;pos
MIS-MVU-EAC;8032;Mvutu;miscellaneous;miscellaneous;external;ea;pos
MIS-NOV-EAC;30524;Novelities Sets;miscellaneous;miscellaneous;external;ea;pos
YBU-JUG-5LT;;Jug Plastic 5 litre;consumables;Consumables;external;ea;
MIS-PLD-EAC;;Platter Dip 70ml;miscellaneous;miscellaneous;external;ea;pos
MIS-RAS-EACH;;Rakhi String;miscellaneous;miscellaneous;external;ea;pos
MIS-RMV-EAC;8033;Mvutu Rainbow;miscellaneous;miscellaneous;external;ea;pos
MIS-ROS-EAC;8020;Roses;miscellaneous;miscellaneous;external;ea;pos
MIS-RSS-EAC;;Roses Small New Assorted Colours;miscellaneous;miscellaneous;external;ea;pos
MIS-SBE-EAC;8030;Silver Beads;miscellaneous;miscellaneous;external;ea;pos
MIS-SCB-EAC;;Balloons- Stick Character;miscellaneous;miscellaneous;external;ea;pos
MIS-SDC-EAC;30515;Same Day Charge;miscellaneous;miscellaneous;external;ea;pos
MIS-SFB-EAC;;Sign Happy Birthday Gold Foil;miscellaneous;miscellaneous;external;ea;pos
MIS-SGA-EAC;8026;Sign H.A. Gold;miscellaneous;miscellaneous;external;ea;pos
MIS-SGB-EAC;8028;Sign H.B. Gold;miscellaneous;miscellaneous;external;ea;pos
